consolidated_latitude,consolidated_longitude,cluster
50.427648,6.203233,3
49.676919,5.783934,3
50.680109,5.080756,3
49.676919,5.783934,3
49.676919,5.783934,3
43.628261,1.407644,4
43.792972,0.628264,4
43.792972,0.628264,4
43.792972,0.628264,4
43.621588,1.413705,4
43.621588,1.413705,4
43.539773,1.512599,4
43.539773,1.512599,4
43.591239,1.403325,4
43.591239,1.403325,4
43.591239,1.403325,4
43.946676,4.330761,1
48.6147077,2.4600223,0
43.41959147913006,3.407609123225763,1
48.832677935169805,2.493569567590577,0
41.908579309038,8.657888301758055,1
43.476583984941,5.476711409891,1
43.3292004491334,5.143766265497639,1
45.704218,4.578864,1
50.684918,3.207306,0
50.68494,3.207246,0
50.684984,3.207124,0
50.684898,3.20737,0
48.931356,2.212336,0
50.685013,3.207047,0
50.684964,3.207187,0
50.685049,3.206962,0
50.684876,3.207433,0
50.684876,3.207433,0
48.841032,2.798854,0
48.931373,2.212311,0
47.84,-3.88,2
48.92768371647863,3.130455146024364,0
47.348015,0.647692,2
43.537405,1.38873,4
47.664063,-2.781345,2
43.117013,0.760407,4
47.34806,0.647698,2
47.34806,0.647698,2
43.537395,1.388746,4
43.537395,1.388746,4
47.664063,-2.781345,2
43.117013,0.760407,4
43.911593,2.129364,4
43.911593,2.129364,4
47.441212,-2.1594573,2
47.83265,-4.325838,2
45.79,4.84,1
43.641297,7.130067,1
43.641297,7.130067,1
43.878408,7.448297,1
43.958037,4.764347,1
43.958425,4.768425,1
43.962289,4.752516,1
44.024338,4.793617,1
48.79661,2.136693,0
48.799674,2.153577,0
48.799674,2.153577,0
48.800833,2.129056,0
48.801996,2.130358,0
48.801996,2.130358,0
48.806742,2.151875,0
48.809898,2.12096,0
48.780621,2.210091,0
48.782472,2.190194,0
48.782833,2.215456,0
48.782833,2.215456,0
48.785437,2.211931,0
43.337839,6.546778,1
43.329318,6.616837,1
43.314926,6.6342,1
43.325788,6.624927,1
43.310428,6.634794,1
43.310428,6.634794,1
43.172029,6.519044,1
43.250675,6.534659,1
43.251851,6.533698,1
43.279636,6.577631,1
43.279636,6.577631,1
43.274431,6.522957,1
43.272782,6.521344,1
43.227475,6.661056,1
43.184096,6.599485,1
43.443935,6.706553,1
43.230239,6.585713,1
43.230239,6.585713,1
43.384124,5.706148,1
43.262611,6.586437,1
43.256472,6.690518,1
43.269507,6.640612,1
43.27044,6.635375,1
43.925813,4.876649,1
43.927832,4.838556,1
43.928623,4.813005,1
43.929502,4.821979,1
